PAW protein_summary_9 results file
written: Sun Apr  7 21:52:34 2019

 	=subtotal(109,B6:B10653)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
ProtGroup	Counter	Accession	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_setA	Total_setB	Total_setC	Unique_setA	Unique_setB	Unique_setC	Corrected_setA	Corrected_setB	Corrected_setC	OtherLoci
1.0	1	CONT_005|Trypa5|PromTArt5	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	50	50	1.000	21	18	11	21	18	11	21.000	18.000	11.000	 
2.0	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	contaminant	20.8	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	18	18	1.000	9	5	4	9	5	4	9.000	5.000	4.000	 
3.0	1	CONT_014|gi|114054|sp|P15636|API_ACHLY	contaminant	14.4	653	68124	PROTEASE I PRECURSOR (API) (LYSYL ENDOPEPTIDASE) [Achromobacter lyticus].	629	629	1.000	200	196	233	200	196	233	200.000	196.000	233.000	 
4.0	1	CONT_015|gi|229552|prf||754920A	contaminant	59.6	581	65797	albumin [Bos primigenius taurus].	1217	98	0.081	562	311	344	44	20	34	155.049	66.641	106.049	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
5.0	1	CONT_016|gi|113574|sp|P02769|ALBU_BOVIN	contaminant	68.7	607	69270	SERUM ALBUMIN PRECURSOR [Bos taurus].	1343	224	0.167	618	348	377	100	57	67	352.385	189.926	208.979	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
6.0	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	contaminant	71.3	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	2863	2299	0.803	1085	979	799	842	812	645	1058.566	966.320	783.905	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
6.01	1	sp|P02768|ALBU_HUMAN	redundant	71.3	609	69366	Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2	2863	2299	0.803	1085	979	799	842	812	645	1058.566	966.320	783.905	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
7.0	1	CONT_018|gi|113580|sp|P02770|ALBU_RAT	contaminant	18.8	608	68718	SERUM ALBUMIN PRECURSOR [Rattus norvegicus].	195	41	0.210	66	85	44	0	40	1	0.000	42.113	1.067	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT
8.0	1	CONT_019|CAS1_BOVIN	contaminant	25.2	214	24529	ALPHA-S1 CASEIN PRECURSOR [Bos taurus].	24	24	1.000	6	8	10	6	8	10	6.000	8.000	10.000	 
9.0	1	CONT_020|CAS2_BOVIN	contaminant	12.6	222	26018	ALPHA-S2 CASEIN PRECURSOR [Bos taurus].	7	7	1.000	2	3	2	2	3	2	2.000	3.000	2.000	 
